"gene","log2FoldChange","pvalue","padj"
"GENE1052",-2.5663,2.754e-30,6.611e-28
"GENE1072",-1.334,2.333e-30,6.611e-28
"GENE1113",2.0133,2.149e-30,6.611e-28
"GENE1138",-1.3786,1.049e-30,6.611e-28
"GENE1193",2.7555,1.419e-30,6.611e-28
"GENE1075",2.7896,4.107e-30,8.213e-28
"GENE1100",-3.9807,5.583e-30,8.438e-28
"GENE1107",1.2806,5.625e-30,8.438e-28
"GENE1079",1.6403,1.005e-29,1.34e-27
"GENE1087",2.4532,1.321e-29,1.372e-27
"GENE1092",-1.4835,1.38e-29,1.372e-27
"GENE1119",2.0106,1.487e-29,1.372e-27
"GENE1197",1.3431,1.198e-29,1.372e-27
"GENE1066",-1.8536,2.316e-29,1.979e-27
"GENE1110",-1.3314,2.474e-29,1.979e-27
"GENE1097",1.7948,3.492e-29,2.619e-27
"GENE1145",1.3043,5.176e-29,3.653e-27
"GENE1118",-1.4011,5.868e-29,3.912e-27
"GENE1146",-1.7547,6.269e-29,3.96e-27
"GENE1086",-2.4867,1.309e-28,7.787e-27
"GENE1183",1.5042,1.363e-28,7.787e-27
"GENE1153",1.4905,3.058e-28,1.668e-26
"GENE1126",-1.2492,3.338e-28,1.741e-26
"GENE1135",1.8062,4.046e-28,2.023e-26
"GENE1176",-4.5902,6.904e-28,3.314e-26
"GENE1062",-2.5483,7.603e-28,3.509e-26
"GENE1160",-2.3418,8.14e-28,3.618e-26
"GENE1124",-1.5869,9.331e-28,3.999e-26
"GENE1091",1.3454,1.27e-27,4.914e-26
"GENE1117",5.5536,1.242e-27,4.914e-26
"GENE1151",1.6784,1.231e-27,4.914e-26
"GENE1144",-2.6933,2.053e-27,7.698e-26
"GENE1051",2.1847,2.146e-27,7.803e-26
"GENE1184",-1.936,1.402e-26,4.949e-25
"GENE1159",3.9022,1.592e-26,5.459e-25
"GENE1148",-1.4859,1.9e-26,6.001e-25
"GENE1149",3.4802,1.849e-26,6.001e-25
"GENE1194",-1.966,1.866e-26,6.001e-25
"GENE1132",-1.4339,2.293e-26,7.055e-25
"GENE1121",2.776,2.868e-26,8.604e-25
"GENE1198",-3.6406,1.409e-25,4.124e-24
"GENE1090",-1.7688,1.996e-25,5.703e-24
"GENE1167",1.8343,2.209e-25,6.164e-24
"GENE1057",3.9823,2.36e-25,6.436e-24
"GENE1065",1.7026,2.493e-25,6.649e-24
"GENE1188",-1.4555,3.768e-25,9.829e-24
"GENE1152",-1.795,3.91e-25,9.982e-24
"GENE1189",4.4787,4.762e-25,1.19e-23
"GENE1171",1.297,6.195e-25,1.517e-23
"GENE1108",-1.2894,9.025e-25,2.166e-23
"GENE1134",-1.3875,2.22e-24,5.223e-23
"GENE1120",-4.4697,2.293e-24,5.291e-23
"GENE1071",2.5365,3.182e-24,7.206e-23
"GENE1175",1.9077,4.338e-24,9.64e-23
"GENE1200",-2.1443,4.685e-24,1.022e-22
"GENE1174",-1.2294,1.058e-23,2.267e-22
"GENE1195",1.3842,1.264e-23,2.661e-22
"GENE1123",1.2677,1.377e-23,2.85e-22
"GENE1154",-1.9034,3.182e-23,6.472e-22
"GENE1199",2.3277,4.719e-23,9.438e-22
"GENE1083",1.3473,3.575e-22,7.034e-21
"GENE1069",2.1747,3.856e-22,7.463e-21
"GENE1115",1.4839,6.184e-22,1.178e-20
"GENE1099",3.2777,3.144e-21,5.895e-20
"GENE1093",2.6022,4.931e-21,9.104e-20
"GENE1166",-2.585,2.524e-20,4.589e-19
"GENE1112",-1.275,4.588e-20,8.217e-19
"GENE1192",-2.1714,6.293e-20,1.111e-18
"GENE1155",2.7094,1.089e-19,1.893e-18
"GENE1165",2.4543,1.308e-19,2.242e-18
"GENE1077",1.8904,1.567e-19,2.648e-18
"GENE1061",3.0301,1.663e-19,2.772e-18
"GENE1161",3.6511,1.729e-19,2.842e-18
"GENE1150",-1.2398,2.93e-19,4.751e-18
"GENE1137",1.958,3.325e-19,5.32e-18
"GENE1063",1.2085,3.747e-19,5.917e-18
"GENE1169",1.7835,9.038e-19,1.408e-17
"GENE1078",-3.5138,1.015e-18,1.562e-17
"GENE1095",1.6069,2.16e-18,3.281e-17
"GENE1131",1.4729,4.499e-18,6.748e-17
"GENE1168",-1.4319,7.599e-18,1.126e-16
"GENE1186",-1.3568,8.85e-18,1.295e-16
"GENE1142",-1.7207,1.215e-17,1.756e-16
"GENE1156",-1.2878,1.924e-17,2.748e-16
"GENE1122",-2.8021,2.66e-17,3.756e-16
"GENE1111",4.5058,5.527e-17,7.712e-16
"GENE1173",2.2416,6.6e-17,9.104e-16
"GENE1080",-1.2155,1.752e-16,2.388e-15
"GENE1053",1.6014,2.027e-16,2.732e-15
"GENE1133",1.2894,2.58e-16,3.44e-15
"GENE1054",-1.4884,7.126e-16,9.397e-15
"GENE1196",-1.2896,2.552e-15,3.328e-14
"GENE1089",2.4016,2.628e-15,3.391e-14
"GENE1191",3.6085,8.356e-15,1.067e-13
"GENE1164",-2.3036,1.023e-14,1.293e-13
"GENE1081",2.0566,1.427e-14,1.784e-13
"GENE1185",2.4817,1.572e-14,1.945e-13
"GENE1068",-2.9604,2.254e-14,2.76e-13
"GENE1162",-1.6557,3.714e-14,4.501e-13
"GENE1104",-2.3122,6.745e-14,8.094e-13
"GENE1114",-2.4814,1.111e-13,1.321e-12
"GENE1172",-2.9091,1.957e-13,2.303e-12
"GENE1105",1.3613,2.141e-13,2.494e-12
"GENE1187",1.4892,2.31e-13,2.665e-12
"GENE1128",-2.6862,4.256e-13,4.864e-12
"GENE1136",-1.6405,9.79e-13,1.108e-11
"GENE1076",-2.9339,1.087e-12,1.219e-11
"GENE1141",1.7939,1.241e-12,1.379e-11
"GENE1177",5.1249,1.526e-12,1.68e-11
"GENE1055",2.6372,1.712e-12,1.868e-11
"GENE1190",-5.1689,3.524e-12,3.81e-11
"GENE1073",2.4236,7.557e-12,8.097e-11
"GENE1181",1.6488,8.161e-12,8.667e-11
"GENE1056",-4.4499,1.785e-11,1.879e-10
"GENE1180",-2.5587,1.998e-11,2.085e-10
"GENE1096",-1.8141,5.819e-11,6.019e-10
"GENE1088",-1.4628,5.986e-11,6.139e-10
"GENE1163",3.7185,9.796e-11,9.962e-10
"GENE1102",-1.515,1.433e-10,1.445e-09
"GENE1094",-1.552,2.155e-10,2.155e-09
"GENE1157",1.4265,4.883e-10,4.842e-09
"GENE1085",3.4275,5.608e-10,5.471e-09
"GENE1139",2.1932,5.566e-10,5.471e-09
"GENE1064",-3.508,7.406e-10,7.167e-09
"GENE1179",1.3272,1.102e-09,1.058e-08
