"gene_a","gene_b"
8.29,8.23
7.35,7.88
9.37,9.13
10.69,10.59
9.49,11.43
9.66,8.62
7.58,7.1
9.53,8.29
8.07,9.2
10.36,9.08
8.33,9.39
6.43,6.71
7.57,7.92
8.72,10.01
6.18,6.95
8.46,9.2
7.22,9.06
7.34,5.45
7.1,6.31
9.94,9.47
9.25,9.41
7.15,8.35
9.18,11.32
6.25,7.46
7.2,8.29
8,6.35
7.23,7.23
9.86,9.31
7.01,8.14
8.25,8.46
7.17,9.28
8.15,9.69
6.28,7.66
6.13,6.85
7.7,7.72
8.27,8.33
9.96,11.31
5.99,7.84
9.29,10.18
8.35,9.26
9.56,10.02
9.99,10.93
9.42,7.63
6.52,7.27
6.18,6.09
5.56,6.08
8.14,9.14
7.97,9.59
8.77,6.78
7.66,7.76
9.89,9.83
7.64,9.46
5,7.7
9.05,9.89
9.83,10.23
6.72,7.07
7.15,8.24
8.42,7.83
9.46,9.76
9.43,9.39
