var1,var2,r,p_value,p_adj,significant
il6,tnf,0.8133947215276958,4.883141977601833e-20,3.418199384321283e-19,TRUE
il6,crp,0.7428702557579102,3.0518335447894655e-15,1.0681417406763129e-14,TRUE
tnf,crp,0.7141210226949849,1.0336679471588659e-13,3.2158558356053605e-13,TRUE
il6,il1b,0.8489969880623806,2.5969689041230363e-23,3.635756465772251e-22,TRUE
tnf,il1b,0.7560706965041476,5.156939337873792e-16,2.4065716910077695e-15,TRUE
crp,il1b,0.7546527724277795,6.275690298352223e-16,2.510276119340889e-15,TRUE
il6,il10,-0.10875485969045323,0.33691643923674774,0.4903018641557494,FALSE
tnf,il10,-0.026239402129797616,0.8172849731550819,0.8754840094212393,FALSE
crp,il10,-0.10204868264109798,0.36772639811681207,0.4903018641557494,FALSE
il1b,il10,-0.048000257939418006,0.6724307960971846,0.7531224916288468,FALSE
il6,tgfb,0.022318191067264695,0.8442167233704808,0.8754840094212393,FALSE
tnf,tgfb,0.08744783113253858,0.4405134394008219,0.5489464916491059,FALSE
crp,tgfb,-0.002178691972971424,0.9846974025630142,0.9846974025630142,FALSE
il1b,tgfb,0.05301817062088469,0.64044670840838,0.7471878264764434,FALSE
il10,tgfb,0.8800167612119093,6.115784587785107e-27,1.71241968457983e-25,TRUE
il6,il4,0.0854773795581015,0.45092033242605123,0.5489464916491059,FALSE
tnf,il4,0.1255745269447164,0.2670439104581118,0.4154016384903962,FALSE
crp,il4,0.10361708587971111,0.3603709606492794,0.4903018641557494,FALSE
il1b,il4,0.13645628096402915,0.22745209224034768,0.37462697545469026,FALSE
il10,il4,0.8470144480378485,4.1514954530164844e-23,3.8747290894820525e-22,TRUE
tgfb,il4,0.8076070787807379,1.428510085112765e-19,7.999656476631484e-19,TRUE
il6,ifng,0.6793528242184684,4.2843711935794485e-12,1.1996239342022455e-11,TRUE
tnf,ifng,0.6725852576444324,8.344123979441031e-12,2.1239588311304445e-11,TRUE
crp,ifng,0.6520070964866915,5.713424368799922e-11,1.333132352719982e-10,TRUE
il1b,ifng,0.6320086790468851,3.2344484661531075e-10,6.966504388637462e-10,TRUE
il10,ifng,-0.41635215190111285,1.2237637690716053e-4,2.4475275381432107e-4,TRUE
tgfb,ifng,-0.27917267669750007,0.012149497230174605,0.022679061496325932,TRUE
il4,ifng,-0.22087908426727174,0.048964508858245076,0.08568789050192888,FALSE
