var1,var2,r,p_value,p_adj,significant
il6,tnf,0.8133947215276963,4.88314197760208e-20,3.418199384321456e-19,True
il6,crp,0.7428702557579103,3.0518335447894734e-15,1.0681417406763157e-14,True
il6,il1b,0.8489969880623803,2.5969689041231803e-23,3.6357564657724526e-22,True
il6,il10,-0.10875485969045323,0.33691643923674763,0.49030186415574933,False
il6,tgfb,0.022318191067264688,0.8442167233704805,0.875484009421239,False
il6,il4,0.0854773795581015,0.45092033242605156,0.5489464916491062,False
il6,ifng,0.6793528242184685,4.284371193579488e-12,1.1996239342022566e-11,True
tnf,crp,0.7141210226949851,1.033667947158889e-13,3.215855835605432e-13,True
tnf,il1b,0.7560706965041482,5.156939337873808e-16,2.406571691007777e-15,True
tnf,il10,-0.026239402129797647,0.8172849731550821,0.875484009421239,False
tnf,tgfb,0.08744783113253857,0.4405134394008214,0.5489464916491062,False
tnf,il4,0.12557452694471646,0.26704391045811177,0.4154016384903961,False
tnf,ifng,0.6725852576444326,8.344123979441112e-12,2.1239588311304648e-11,True
crp,il1b,0.7546527724277798,6.275690298352258e-16,2.5102761193409033e-15,True
crp,il10,-0.10204868264109801,0.367726398116812,0.49030186415574933,False
crp,tgfb,-0.0021786919729714412,0.9846974025630145,0.9846974025630145,False
crp,il4,0.10361708587971118,0.36037096064927915,0.49030186415574933,False
crp,ifng,0.6520070964866919,5.71342436879998e-11,1.3331323527199954e-10,True
il1b,il10,-0.04800025793941799,0.672430796097184,0.753122491628846,False
il1b,tgfb,0.053018170620884666,0.6404467084083796,0.7471878264764429,False
il1b,il4,0.13645628096402915,0.2274520922403478,0.37462697545469054,False
il1b,ifng,0.632008679046885,3.234448466153118e-10,6.966504388637484e-10,True
il10,tgfb,0.8800167612119094,6.1157845877852294e-27,1.7124196845798644e-25,True
il10,il4,0.8470144480378486,4.1514954530164256e-23,3.8747290894819975e-22,True
il10,ifng,-0.41635215190111285,0.00012237637690716097,0.00024475275381432193,True
tgfb,il4,0.807607078780738,1.4285100851127433e-19,7.999656476631362e-19,True
tgfb,ifng,-0.27917267669749984,0.012149497230174642,0.022679061496325998,True
il4,ifng,-0.22087908426727187,0.0489645088582452,0.08568789050192911,False
