term,gene_ratio,p_adjust,count
T cell receptor signaling,0.02,2.04e-07,8
Apoptotic process,0.02,6.38e-07,8
p53 signaling pathway,0.0225,5.71e-05,9
Interferon gamma response,0.025,2.39e-07,10
Fatty acid metabolism,0.05,2.79e-06,20
Complement activation,0.0575,4.53e-07,23
DNA repair,0.0625,8.28e-05,25
Extracellular matrix organization,0.0675,1.38e-05,27
Oxidative phosphorylation,0.09,9.9e-07,36
Glycolysis,0.095,1.09e-05,38
Cytokine signaling in immune system,0.1175,3.18e-08,47
Wnt signaling,0.12,2.45e-05,48
Angiogenesis,0.1225,1.7e-05,49
Cell cycle checkpoint,0.125,9.28e-07,50
Inflammatory response,0.1475,3.3e-08,59
