"genotype","treatment","sex","response"
"wt","vehicle","male",10.4
"wt","vehicle","male",12
"wt","vehicle","male",11.5
"wt","vehicle","male",9.8
"wt","vehicle","male",13.4
"wt","vehicle","male",12
"wt","vehicle","female",10.1
"wt","vehicle","female",10.4
"wt","vehicle","female",11
"wt","vehicle","female",10.1
"wt","vehicle","female",5.5
"wt","vehicle","female",10.4
"wt","drug","male",14.4
"wt","drug","male",15.3
"wt","drug","male",15.9
"wt","drug","male",17.1
"wt","drug","male",13.9
"wt","drug","male",17
"wt","drug","female",14.5
"wt","drug","female",15.6
"wt","drug","female",15.4
"wt","drug","female",15.1
"wt","drug","female",12.4
"wt","drug","female",13.9
"ko","vehicle","male",14.9
"ko","vehicle","male",12.6
"ko","vehicle","male",13.2
"ko","vehicle","male",14.9
"ko","vehicle","male",15.2
"ko","vehicle","male",14.7
"ko","vehicle","female",11.7
"ko","vehicle","female",11.4
"ko","vehicle","female",15.3
"ko","vehicle","female",13.4
"ko","vehicle","female",13.1
"ko","vehicle","female",12.8
"ko","drug","male",19.2
"ko","drug","male",21.9
"ko","drug","male",20.7
"ko","drug","male",20.7
"ko","drug","male",22.4
"ko","drug","male",22.2
"ko","drug","female",22.1
"ko","drug","female",19.3
"ko","drug","female",21
"ko","drug","female",22.1
"ko","drug","female",18.3
"ko","drug","female",18.7
