"genotype","treatment","response"
"wt","vehicle",22.7
"wt","vehicle",18.9
"wt","vehicle",20.7
"wt","vehicle",21.3
"wt","vehicle",20.8
"wt","vehicle",19.8
"wt","vehicle",23
"wt","vehicle",19.8
"wt","low",25
"wt","low",20.9
"wt","low",23.6
"wt","low",25.6
"wt","low",18.2
"wt","low",20.4
"wt","low",20.7
"wt","low",22.3
"wt","high",19.9
"wt","high",15.2
"wt","high",15.6
"wt","high",23.1
"wt","high",19.9
"wt","high",16.9
"wt","high",20.2
"wt","high",22.9
"ko","vehicle",23.8
"ko","vehicle",19.1
"ko","vehicle",19.5
"ko","vehicle",16.5
"ko","vehicle",20.9
"ko","vehicle",18.7
"ko","vehicle",20.9
"ko","vehicle",21.4
"ko","low",29.1
"ko","low",25.8
"ko","low",28
"ko","low",23.6
"ko","low",25.4
"ko","low",25.3
"ko","low",22.2
"ko","low",27.1
"ko","high",32.9
"ko","high",31.8
"ko","high",34
"ko","high",31
"ko","high",29.8
"ko","high",33.4
"ko","high",30.9
"ko","high",35.4
