feature,mean_control,mean_treated,p_value,p_adj,significant
gene_01,8.068,10.299,0.01035551857137993,0.017259197618966552,TRUE
gene_02,8.2,11.866999999999999,2.4875183967825672e-5,1.4925110380695404e-4,TRUE
gene_03,8.884,10.171,0.10496472922540583,0.14313372167100794,FALSE
gene_04,7.513,11.925,1.2610160018364005e-5,1.4925110380695404e-4,TRUE
gene_05,8.676,11.971,2.3521118853473698e-4,8.820419570052637e-4,TRUE
gene_06,8.14,11.21,6.081319027256591e-5,3.040659513628295e-4,TRUE
gene_07,8.366,11.391,5.375294755388671e-4,0.0017917649184628903,TRUE
gene_08,8.3,10.278,0.00697764861290111,0.013083091149189582,TRUE
gene_09,7.753,11.042,6.35592346715264e-4,0.0019067770401457918,TRUE
gene_10,7.46,10.122,0.0018162348798827978,0.003891931885463138,TRUE
gene_11,7.5329999999999995,4.523,2.153555588430794e-4,8.820419570052637e-4,TRUE
gene_12,7.528,4.941,2.3745734708207725e-5,1.4925110380695404e-4,TRUE
gene_13,8.312000000000001,5.503,0.0017124764327323225,0.003891931885463138,TRUE
gene_14,7.868,3.121,1.7416706285703125e-6,5.225011885710938e-5,TRUE
gene_15,7.482,5.429,0.008939325576803207,0.01577528042965272,TRUE
gene_16,8.566,5.123,2.2877538286306067e-5,1.4925110380695404e-4,TRUE
gene_17,7.48,4.748,0.002135523016219387,0.004271046032438774,TRUE
gene_18,7.882,5.388,0.013510867976726466,0.021332949436936526,TRUE
gene_19,7.8100000000000005,5.048,0.001039462659524446,0.002834898162339398,TRUE
gene_20,7.984,5.528,0.0015101137516669264,0.003775284379167316,TRUE
gene_21,8.118,7.803,0.6068266594475757,0.6585089868767361,FALSE
gene_22,8.318,7.9350000000000005,0.6146083877516204,0.6585089868767361,FALSE
gene_23,7.209,8.518,0.03744066058692209,0.05348665798131727,FALSE
gene_24,7.737,8.653,0.11645648513668613,0.15189976322176452,FALSE
gene_25,7.851,8.172,0.6128215422003357,0.6585089868767361,FALSE
gene_26,8.421,8.033,0.4209488195680392,0.526186024460049,FALSE
gene_27,7.301,8.53,0.02131672454467047,0.031975086817005706,TRUE
gene_28,8.64,9.018,0.5491062333647438,0.6585089868767361,FALSE
gene_29,7.661,7.849,0.684857360736795,0.7084731317966846,FALSE
gene_30,8.041,7.943,0.8710922590752873,0.8710922590752873,FALSE
