"gene","ctrl_01","ctrl_02","ctrl_03","ctrl_04","ctrl_05","ctrl_06","ctrl_07","ctrl_08","ctrl_09","ctrl_10","trt_01","trt_02","trt_03","trt_04","trt_05","trt_06","trt_07","trt_08","trt_09","trt_10"
"gene_01",7.11,6.34,6.73,9.8,11.69,5.61,7.85,9.1,9.44,7.01,8.67,9.61,9.68,13.32,8.66,8.95,11.2,12.32,9.92,10.66
"gene_02",8.04,6.59,11.51,6.46,7.04,9.01,7.86,9.02,8.96,7.51,9.91,10.04,12.78,11.99,12.12,13.66,13.41,12.23,12.54,9.99
"gene_03",5.73,9.02,7.82,9.41,9.82,8.64,9,6.73,10.69,11.98,9.8,7.42,13.24,10.49,11.37,9.31,9.14,10.89,10.3,9.75
"gene_04",5.96,5.63,5.07,7.19,9.07,9.03,6.91,7.25,9.76,9.26,14.1,11.31,12.13,14.02,12.05,13.67,11.03,10.59,11.39,8.96
"gene_05",9.77,6.7,8.81,8.77,7.7,6.51,11.41,10.13,10.16,6.8,14.07,11.13,8.9,11.66,11.94,13.01,13.65,11.71,10.92,12.72
"gene_06",6.6,8.73,10.54,7.47,10.12,9.26,7.6,7.28,6.04,7.76,12.18,12,10.57,11.75,9.14,11,12.7,11.6,10.59,10.57
"gene_07",9.99,7.72,6.81,9.99,9.93,10.55,7.42,6.84,7.96,6.45,11.27,8.2,11.02,11.28,10.52,10.93,13.65,13.05,10.52,13.47
"gene_08",8.94,10.32,6.39,6.29,8.88,10.38,7.77,9.41,8.74,5.88,9.98,8.72,11.81,8.54,9.57,10.13,10.64,11.58,11.8,10.01
"gene_09",7.93,7.08,7.09,10.12,9.92,6.85,7.23,6.48,5.47,9.36,13.2,14.33,10.3,10.85,10.89,8.68,10.88,9.42,13.17,8.7
"gene_10",6.49,7.48,9.13,7.1,6.69,7.58,8.51,7.76,6.76,7.1,11.67,7.67,8.37,10.51,11.5,8.37,9.21,11.73,13.58,8.61
"gene_11",6.76,5.55,8.68,7.34,7.79,8.01,7.95,8.2,7.64,7.41,2.62,2.69,5.82,7.01,4.71,6.41,5.58,2.11,4.07,4.21
"gene_12",7.48,8.03,7.81,8.37,6.21,7.15,7.25,8.55,7.96,6.47,5.18,5.95,7.04,3.44,5.96,4.98,4.79,4.14,4.5,3.43
"gene_13",5.69,9.34,6.86,8.9,8.49,8.88,9.31,8.55,9.35,7.75,3.91,5.62,3.6,6.77,6.43,4.79,4.84,9.54,6.84,2.69
"gene_14",7.62,6.69,8.34,7.82,6.38,8.16,8.11,7.37,10.14,8.05,4.22,4.12,1.73,0.8,2.85,5.37,2.23,2.96,1.23,5.7
"gene_15",6.28,9.34,9.68,4.9,7.22,6.04,8.62,6.65,8.09,8,6.7,6.41,6.93,6.56,6.03,4.41,2.32,6.16,3.14,5.63
"gene_16",8.02,7.48,8.23,8.88,7.88,7.85,12.16,7.96,7.18,10.02,4.52,4.2,4.47,5.33,5.66,4.11,5,8.08,5.27,4.59
"gene_17",7.67,4.72,6.97,8.73,7.48,5.87,10.57,8.04,9.23,5.52,5.14,2.83,6.46,5.94,2.74,2.76,6.93,5.6,3.64,5.44
"gene_18",9.33,9.32,8.68,6.49,4.61,7.62,6.15,8.84,7.33,10.45,5.94,3.98,2.75,3.56,4.28,3.16,6.37,8.71,9.18,5.95
"gene_19",7.11,9.09,6.4,9.9,7.57,8.05,8.26,5.54,7.46,8.72,4.57,4.88,4.44,2.52,4.38,4.65,8.5,3.85,7.79,4.9
"gene_20",7.02,8.33,8.6,9.69,8.42,7.95,9.47,7.06,7.76,5.54,5.42,4.77,4.67,8.1,5.59,3.84,8.2,4.75,3.38,6.56
"gene_21",6.98,9.18,7.9,9.26,5.67,8.77,8.99,9.45,8.54,6.44,8.54,8.27,6.63,6.16,6.93,7.43,9.42,7.93,6.38,10.34
"gene_22",7.98,7.66,8.47,10.43,8.82,8.5,10.48,8.06,4.66,8.12,6.62,7.67,7.7,9.15,9.71,5.34,5.99,7.41,8.89,10.87
"gene_23",7.34,6.77,7.09,8.67,5.69,9.41,6.12,4.94,7.83,8.23,6.5,9.35,9.83,10.38,9,8.69,8.62,7.66,7.1,8.05
"gene_24",8.53,8.75,6.64,4.55,7.56,8.47,9.32,8.43,6.16,8.96,7.58,7.93,8.85,9.79,8.08,8.32,9.4,7.89,8.67,10.02
"gene_25",8.11,8.24,11.39,7.88,7.83,6.37,9.11,5.18,6.21,8.19,8.23,7.34,8.26,8.11,9.91,8.29,6.61,8.56,7.25,9.16
"gene_26",8.01,8.81,7.1,7.22,8.39,9.59,8.01,7.77,8.95,10.36,6.34,8.71,9.28,6.94,9.56,7.03,8.92,8.18,7.65,7.72
"gene_27",7.72,7.77,6.05,7.37,8.58,6.51,7.46,7.8,5.46,8.29,7.81,9.07,10.24,7.25,8.33,9.25,6.86,7.38,9.2,9.91
"gene_28",6.85,8.66,8.76,8.46,11.02,9.72,7.21,10.06,8.34,7.32,9.94,8.3,9.73,6.57,9.96,10.57,8.39,9.4,10.47,6.85
"gene_29",7.67,10.23,6.72,7.95,7.51,9.32,6.44,6.47,7.53,6.77,8.23,7.38,7.93,8.47,6.64,8.54,7.86,6.82,7.93,8.69
"gene_30",6.52,8.09,5.74,8.16,8.57,9.74,6.09,9.21,9.84,8.45,8.21,8.51,9.6,8.91,7.92,8.24,5.64,8.69,6.63,7.08
