"gene","apoptosis","inflammation","metabolism","cell_cycle"
"gene_001",1,1,0,0
"gene_002",0,1,1,0
"gene_003",0,0,0,1
"gene_004",0,1,1,1
"gene_005",0,0,0,1
"gene_006",1,0,0,0
"gene_007",0,0,0,0
"gene_008",1,1,1,1
"gene_009",0,0,0,1
"gene_010",0,0,0,0
"gene_011",0,0,0,1
"gene_012",0,0,1,0
"gene_013",1,1,0,0
"gene_014",0,0,1,1
"gene_015",0,1,0,0
"gene_016",0,0,1,0
"gene_017",1,0,0,0
"gene_018",0,0,0,0
"gene_019",1,1,1,1
"gene_020",0,0,1,0
"gene_021",1,0,1,0
"gene_022",0,0,0,0
"gene_023",1,0,0,1
"gene_024",1,0,1,0
"gene_025",1,1,1,1
"gene_026",0,0,1,0
"gene_027",1,1,0,0
"gene_028",0,0,0,0
"gene_029",1,1,1,1
"gene_030",0,0,0,0
"gene_031",1,1,0,0
"gene_032",0,0,1,1
"gene_033",0,0,1,0
"gene_034",0,1,1,0
"gene_035",0,1,0,1
"gene_036",1,1,0,1
"gene_037",0,0,0,0
"gene_038",1,1,1,0
"gene_039",1,0,0,1
"gene_040",0,1,0,0
"gene_041",1,0,1,0
"gene_042",0,0,1,1
"gene_043",1,0,1,0
"gene_044",0,0,0,0
"gene_045",1,1,0,0
"gene_046",0,0,1,0
"gene_047",0,1,0,0
"gene_048",1,0,0,0
"gene_049",1,1,0,0
"gene_050",1,0,0,0
"gene_051",1,1,0,0
"gene_052",1,1,0,0
"gene_053",1,1,1,0
"gene_054",1,0,0,0
"gene_055",1,1,1,0
"gene_056",0,1,0,1
"gene_057",0,1,1,0
"gene_058",0,1,1,0
"gene_059",0,1,0,0
"gene_060",0,1,0,0
"gene_061",0,1,0,0
"gene_062",0,0,1,0
"gene_063",1,0,1,1
"gene_064",1,0,1,0
"gene_065",0,0,1,0
"gene_066",1,1,0,0
"gene_067",0,0,1,0
"gene_068",0,1,0,0
"gene_069",0,0,0,1
"gene_070",0,1,1,0
"gene_071",0,0,1,0
"gene_072",1,1,1,1
"gene_073",1,0,0,0
"gene_074",1,0,0,1
"gene_075",0,0,1,1
"gene_076",1,1,0,1
"gene_077",0,0,1,1
"gene_078",0,1,0,0
"gene_079",1,1,0,0
"gene_080",1,1,0,1
