"gene","log2FoldChange","pvalue","padj"
"SPARCL1",4.5749,2.222e-136,3.999e-132
"CACNB2",3.2911,7.84e-135,7.053e-131
"DUSP1",2.9478,3.667e-130,2.2e-126
"SAMHD1",3.767,9.582e-130,4.311e-126
"MAOA",3.3536,1.099e-123,3.956e-120
"GPX3",3.7304,4.618e-112,1.385e-108
"STEAP2",1.9768,5.769e-107,1.483e-103
"NEXN",2.0357,1.324e-103,2.977e-100
"MT2A",2.211,2.902e-97,5.802e-94
"ADAMTS1",2.3456,3.259e-91,5.865e-88
"FGD4",2.2289,7.578e-87,1.24e-83
"PDPN",1.8912,8.768e-87,1.315e-83
"SORT1",2.1957,1.451e-85,2.009e-82
"PER1",3.1918,2.121e-84,2.726e-81
"VCAM1",-3.6927,5.643e-84,6.77e-81
"KLF15",4.4591,2.226e-80,2.503e-77
"KCTD12",-2.5282,6.667e-79,7.057e-76
"CCDC69",2.9184,3.578e-73,3.576e-70
"CXCL12",-1.9117,4.786e-73,4.533e-70
"ADAM12",-1.8145,6.815e-73,6.131e-70
"PRSS35",-2.7562,7.723e-71,6.617e-68
"DNM1",-1.7563,1.931e-69,1.58e-66
"ACSS1",1.8985,2.475e-68,1.937e-65
"CCKAR",-2.1885,3.537e-68,2.652e-65
"TRNP1",1.9891,1.271e-67,9.149e-65
"PTX3",2.2603,6.382e-67,4.417e-64
"DNAJB4",1.5191,7.747e-67,5.163e-64
"STOM",1.4479,4.707e-66,3.025e-63
"SOX4",-2.412,8.88e-66,5.51e-63
"ADARB1",2.3211,1.543e-65,9.258e-63
"SYNPO2",1.7444,5.548e-64,3.221e-61
"ERRFI1",2.4245,2.261e-63,1.271e-60
"INHBB",3.45,2.543e-61,1.387e-58
"NNMT",2.1874,1.696e-59,8.974e-57
"FSTL3",1.8155,1.034e-57,5.314e-55
"WNT2",-3.0418,6.868e-57,3.433e-54
"RASL11A",2.2889,3.154e-56,1.534e-53
"TJP2",1.9279,4.863e-56,2.303e-53
"TEX2",1.4658,8.259e-56,3.81e-53
"LAMA2",2.0306,7.362e-53,3.312e-50
"COL1A1",-1.3049,1.272e-52,5.584e-50
"PLXNA4",2.7532,8.983e-52,3.849e-49
"SUN2",1.859,1.203e-51,5.033e-49
"LHFPL2",-1.2399,1.319e-51,5.394e-49
"PHC2",1.3875,1.407e-51,5.625e-49
"GXYLT2",-1.5729,2.069e-51,8.094e-49
"TSC22D1",1.2014,3.649e-51,1.397e-48
"COL11A1",2.4273,6.355e-51,2.382e-48
"KCNK6",2.7183,7.9e-51,2.901e-48
"HSPA2",2.4587,1.506e-50,5.418e-48
"TIMP4",2.9453,2.124e-50,7.494e-48
"TCEAL4",1.5391,7.127e-50,2.466e-47
"ADAMTS14",-2.5072,9.34e-50,3.171e-47
"CRISPLD2",2.6313,1.416e-48,4.718e-46
"SLC6A6",-2.1249,1.78e-48,5.825e-46
"ENSG00000152268",1.913,3.035e-48,9.751e-46
"FAM107A",4.8358,3.83e-48,1.209e-45
"CDC42EP3",1.5056,4.107e-48,1.274e-45
"HIF3A",2.5299,9.46e-48,2.885e-45
"IMPA2",2.3269,1.869e-47,5.605e-45
"IGDCC4",-2.1973,2.772e-47,8.178e-45
"TBX18",-1.8336,5.271e-47,1.53e-44
"STEAP1",1.5674,1.447e-46,4.134e-44
"INPP5A",1.3811,5.798e-46,1.63e-43
"RAB11FIP1",1.5473,2.242e-45,6.206e-43
"CCN3",-2.5525,2.509e-44,6.84e-42
"VGLL3",1.3662,3.307e-44,8.881e-42
"C14orf132",-1.1511,5.624e-44,1.488e-41
"FST",-1.8075,1.919e-43,5.004e-41
"SLC6A9",-2.2292,1.981e-43,5.091e-41
"CDKN1A",-1.008,3.108e-43,7.876e-41
"ENDOD1",1.9264,6.257e-43,1.564e-40
"ZBTB16",7.3526,9.142e-43,2.253e-40
"TMT1A",2.2494,1.251e-42,3.043e-40
"EOGT",1.2619,1.996e-42,4.789e-40
"PPP1R14A",2.8965,2.819e-42,6.675e-40
"ANXA4",1.1851,4.244e-42,9.918e-40
"MEST",-1.8638,5.726e-42,1.321e-39
"AMOT",-2.3743,7.524e-42,1.714e-39
"ACSL1",1.6025,9.497e-42,2.136e-39
"FOXO1",2.2278,1.347e-41,2.993e-39
"GDF15",-1.8685,1.928e-41,4.232e-39
"CEBPD",1.4998,1.985e-41,4.304e-39
"MT1E",2.2252,1.298e-40,2.78e-38
"TMEM47",1.1647,1.436e-40,3.041e-38
"USP53",2.1475,2.208e-40,4.62e-38
"IRS2",2.1242,3.135e-40,6.485e-38
"SLC7A14",-2.8829,9.413e-40,1.925e-37
"RAI2",1.4285,1.991e-39,4.025e-37
"DAAM2",1.6814,7.073e-39,1.414e-36
"TRPC6",1.9543,8.399e-39,1.661e-36
