gene,log2FC,p_value,neg_log10_p,direction
GENE1937,-3.17,1.914999999999996e-12,11.71783122169536,down
GENE1893,3.083,2.4860000000000033e-12,11.604498875694373,up
GENE1886,3.083,6.515999999999994e-12,11.186018924363529,up
GENE1946,-2.717,7.35400000000001e-12,11.133476374467156,down
GENE1867,2.676,9.926000000000014e-12,11.003225729138695,up
GENE1900,2.686,1.3879999999999985e-11,10.857610533881164,up
GENE1932,-2.569,8.830999999999997e-12,11.053990115234235,down
GENE1947,-2.317,1.6280000000000015e-12,11.788345599446817,down
GENE1956,-3.022,9.808000000000006e-10,9.00841954282566,down
GENE1883,2.458,9.602000000000005e-12,11.017638298366853,up
GENE1869,2.523,4.639000000000004e-11,10.33357562748124,up
GENE1924,-2.924,1.7719999999999968e-9,8.751536282448969,down
GENE1830,2.455,7.270000000000006e-11,10.138465589140962,up
GENE1884,2.172,4.107000000000001e-12,11.386475297146347,up
GENE2011,-2.967,4.810000000000001e-9,8.317854923626168,down
