"sample","group","feature01","feature02","feature03","feature04","feature05","feature06","feature07","feature08","feature09","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","feature22","feature23","feature24","feature25","feature26","feature27","feature28","feature29","feature30","feature31","feature32","feature33","feature34","feature35","feature36","feature37","feature38","feature39","feature40"
"S01","healthy",-0.651,2.716,0.088,-2.642,-4.635,-1.939,2.342,-0.288,1.404,-3.298,0.055,2.124,-0.404,-0.452,-1.977,-1.45,0.288,2.152,-3.065,0.366,0.417,1.272,1.076,1.653,0.214,-3.922,-1.861,-0.201,0.121,-0.546,-2.088,0.341,-2.958,1.541,1.85,1.41,0.885,-2.905,-1.598,4.376
"S02","healthy",-1.321,3.016,-1.137,0.64,-3.132,-2.099,1.255,-2.758,0.116,-3.671,-0.314,0.413,-1.838,-0.067,0.48,-1.583,1.728,1.102,-4.935,1.152,-0.382,0.591,1.899,1.165,0.434,-4.383,-0.828,-0.132,0.256,-2.122,-2.471,1.379,-2.499,3.444,-0.361,0.319,1.564,-1.862,-1.922,4.26
"S03","healthy",-0.683,2.177,0.469,0.805,-3.22,-1.202,2.514,-0.621,-1.451,-1.887,0.098,2.329,-0.534,0.64,0.21,-0.241,-0.587,0.349,-2.79,-0.168,-0.63,0.281,1.828,0.806,0.555,-2.215,-1.715,-0.279,-0.605,-1.304,-1.167,1.085,-2.774,2.619,-0.001,0.066,1.497,-1.986,-0.57,3.086
"S04","healthy",-1.016,2.976,0.981,-1.783,-3.384,-0.761,1.823,-1.425,0.597,-1.366,0.115,0.858,0.048,-0.308,-1.662,-2.93,-0.004,1.166,-2.951,0.426,-0.31,1.392,0.786,1.637,0.442,-1.985,-0.05,-1.366,-2.364,-0.608,-0.274,0.824,-2.763,1.822,-0.868,0.919,-0.328,-2.499,-2.432,2.93
"S05","healthy",0.142,2.41,1.052,1.073,-2.584,0.316,1.399,-0.011,-2.622,-2.754,0.055,-0.023,-1.091,-0.745,-0.436,-1.746,1.208,0.258,-2.136,2.329,0.832,1.375,1.39,-0.181,0.498,-3.28,-1.077,-1.378,-0.58,0.807,0.77,1.322,-2.224,0.873,0.074,-0.015,1.125,-1.649,-2.719,1.101
"S06","healthy",-0.434,3.607,2.006,0.56,-4.1,-1.988,1.38,-1.886,-1.053,-4.118,2.012,-0.115,0.438,0.262,-0.244,-1.258,0.03,1.105,-4.081,2.838,-0.558,0.963,1.017,0.471,-0.434,-4.241,-0.355,-0.569,-0.701,-1.414,-1.136,2.671,-2.855,3.193,-1.407,-0.628,3.194,-3.779,-2.638,3.735
"S07","healthy",0.371,3.174,-1.237,-1.56,-3.997,-1.336,-1.283,-2.02,1.548,-2.098,-0.624,2.184,-1.061,-0.171,-0.455,-2.939,0.228,0.769,-3.882,0.687,-0.071,3.147,0.369,2.125,-0.478,-2.933,-1.696,-0.275,-1.754,-2.268,-1.754,-0.024,-3.606,1.322,0.352,0.829,0.835,-2.587,-3.173,3.973
"S08","healthy",0.069,1.015,1.645,0.73,-2.571,-0.642,2.011,-2.029,-0.229,-1.736,1.607,1.315,1.286,0.024,-1.212,-1.271,-0.991,2.876,-2.276,1.346,1.089,0.311,1.17,0.579,-0.795,-3.43,0.359,-1.351,-0.414,-0.382,-0.252,3.162,-1.32,1.55,-2.434,0.711,2.597,-0.417,-3.261,2.83
"S09","healthy",-0.463,4.042,1.664,-0.806,-6.656,-2.033,3.219,-2.718,0.526,-3.044,1.281,0.336,-1.774,1.011,0.193,-2.851,-0.533,-0.259,-5.713,2.165,0.45,-0.14,2.294,1.245,0.599,-4.089,-3.153,-0.855,-1.181,-0.491,-3.006,1.757,-5.289,2.393,-0.149,1.011,2.22,-2.478,-2.71,4.814
"S10","healthy",-0.491,4.526,1.782,-0.121,-5.245,-1.022,1.606,-3.196,1.39,-2.458,1.405,0.965,0.005,1.338,-0.46,-1.269,-1.376,-0.745,-5.073,2.093,1.135,0.225,0.357,-0.441,-1.274,-4.594,-3.06,-2.986,-0.771,-0.563,-2.523,1.95,-4.507,1.67,-0.415,0.15,0.494,-3.285,-2.398,5.1
